objectid,parentid,filename,format,title,author,date,place_of_publication,language,item_characteristics,subject,field_of_medicine,description,image_source,resource_type,related_works,iucat_link,call_number,rights,use_and_reproduction
nmb_0013,,nmb_0013a.jpg,compound_object,Leçons de physiologie expérimentale appliquée à la médecine,"Bernard, Claude",1856,"Paris, France",French,print book,digestion; endocrinology; metabolism; physiology,Endocrinology,"<p>“Claude Bernard (1813-1878) was the pupil of and assistant to François Magendie, whom he succeeded as professor at the Collège de France in 1855. There he continued Magendie's physiologic research with even greater intellectual power. He had started as a pharmacist's assistant in Lyons and, before qualifying as a physician, had had some success as a poet and playwright. The greatest of French physiologists, Bernard was the first scientist in his country to be honored with a public funeral at the cathedral of Notre-Dame de Paris.</p><p>“Bernard combined Magendie’s objectivity with enormous curiosity about the facts uncovered. That attitude is well summed up in his own words: ‘Put off your imagination, as you take off your overcoat, when you enter the laboratory; but put it on again, as you do your overcoat, when you leave the laboratory. Before the experiment and between whiles, let your imagination wrap you round; put it right away from you during the experiment itself lest it hinder your observing power.’ A contemporary of Charcot, Pasteur, Virchow, Addison, and Darwin, he lived during a period of intense scientific ferment.</p><p>“His classic book on experimental physiology laid the foundation for today’s understanding of physiology, metabolism, and endocrinology. It was based on his lectures, which were given in two courses in 1854 and 8155. In the first, after a preliminary exposition of the indivisibility of physiologic and pathologic research, Bernard described his investigation of glucose production, with special reference to diabetes. He had studied the chemistry of the liver and the blood and announced his discovery of the glycogenic function of the liver. The second course discussed the mechanical and chemical aspects of digestion, with emphasis on the chemistry and the digestive role of saliva and the properties and function of the pancreas.</p><p>“Bernard introduced the concept of ‘internal secretions’ and showed that all the relevant organs of the body cooperate in the general functions. He later elaborated his concept of the ‘<i>milieu intérieur</i>.’ His subsequent lecture courses presented his discoveries on the effect of poisons, the pathology and physiology of the nervous system (particularly of the vasomotor nerves), body fluids, and anesthesia. Much of our understanding of diabetes, gastrointestinal physiology, and, especially, the experimental method in science stems from Claude Bernard” (Waife et al. 209).</p>",Lilly Library,stillimage,"Bernard, Claude, [<i>Leçons de physiologie opératoire</i>](https://iucat.iu.edu/catalog/52312) ; Bernard, Claude, [<i>Leçons sur les propriétés physiologiques. . .</i>](https://iucat.iu.edu/catalog/52331)",https://iucat.iu.edu/catalog/18046712,R737 .B55,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.  
nmb_0013a,nmb_0013,nmb_0013a.jpg,image/jpg,Leçons de physiologie expérimentale appliquée à la médecine,"Bernard, Claude",1856,"Paris, France",French,print book,digestion; endocrinology; metabolism; physiology,Endocrinology,"""Claude Bernard (1813-1878) was the pupil of and assistant to François Magendie, whom he succeeded as professor at the Collège de France in 1855. There he continued Magendie's physiologic research with even greater intellectual power. He had started as a pharmacist's assistant in Lyons and, before qualifying as a physician, had had some success as a poet and playwright. The greatest of French physiologists, Bernard was the first scientist in his country to be honored with a public funeral at the cathedral of Notre-Dame de Paris.    

“Bernard combined Magendie’s objectivity with enormous curiosity about the facts uncovered. That attitude is well summed up in his own words: ‘Put off your imagination, as you take off your overcoat, when you enter the laboratory; but put it on again, as you do your overcoat, when you leave the laboratory. Before the experiment and between whiles, let your imagination wrap you round; put it right away from you during the experiment itself lest it hinder your observing power.’ A contemporary of Charcot, Pasteur, Virchow, Addison, and Darwin, he lived during a period of intense scientific ferment.    

“His classic book on experimental physiology laid the foundation for today’s understanding of physiology, metabolism, and endocrinology. It was based on his lectures, which were given in two courses in 1854 and 8155. In the first, after a preliminary exposition of the indivisibility of physiologic and pathologic research, Bernard described his investigation of glucose production, with special reference to diabetes. He had studied the chemistry of the liver and the blood and announced his discovery of the glycogenic function of the liver. The second course discussed the mechanical and chemical aspects of digestion, with emphasis on the chemistry and the digestive role of saliva and the properties and function of the pancreas.    

“Bernard introduced the concept of ‘internal secretions’ and showed that all the relevant organs of the body cooperate in the general functions. He later elaborated his concept of the ‘*milieu intérieur*.’ His subsequent lecture courses presented his discoveries on the effect of poisons, the pathology and physiology of the nervous system (particularly of the vasomotor nerves), body fluids, and anesthesia. Much of our understanding of diabetes, gastrointestinal physiology, and, especially, the experimental method in science stems from Claude Bernard” (Waife et al. 209).",Lilly Library,stillimage,"Bernard, Claude, [*Leçons de physiologie opératoire*](https://iucat.iu.edu/catalog/52312) ; Bernard, Claude, [*Leçons sur les propriétés physiologiques. . .*](https://iucat.iu.edu/catalog/52331)",https://iucat.iu.edu/catalog/18046712,R737 .B55,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.
nmb_0013b,nmb_0013,nmb_0013b.jpg,image/jpg,Leçons de physiologie expérimentale appliquée à la médecine,"Bernard, Claude",1856,"Paris, France",French,print book,digestion; endocrinology; metabolism; physiology,Endocrinology,"""Claude Bernard (1813-1878) was the pupil of and assistant to François Magendie, whom he succeeded as professor at the Collège de France in 1855. There he continued Magendie's physiologic research with even greater intellectual power. He had started as a pharmacist's assistant in Lyons and, before qualifying as a physician, had had some success as a poet and playwright. The greatest of French physiologists, Bernard was the first scientist in his country to be honored with a public funeral at the cathedral of Notre-Dame de Paris.    

“Bernard combined Magendie’s objectivity with enormous curiosity about the facts uncovered. That attitude is well summed up in his own words: ‘Put off your imagination, as you take off your overcoat, when you enter the laboratory; but put it on again, as you do your overcoat, when you leave the laboratory. Before the experiment and between whiles, let your imagination wrap you round; put it right away from you during the experiment itself lest it hinder your observing power.’ A contemporary of Charcot, Pasteur, Virchow, Addison, and Darwin, he lived during a period of intense scientific ferment.    

“His classic book on experimental physiology laid the foundation for today’s understanding of physiology, metabolism, and endocrinology. It was based on his lectures, which were given in two courses in 1854 and 8155. In the first, after a preliminary exposition of the indivisibility of physiologic and pathologic research, Bernard described his investigation of glucose production, with special reference to diabetes. He had studied the chemistry of the liver and the blood and announced his discovery of the glycogenic function of the liver. The second course discussed the mechanical and chemical aspects of digestion, with emphasis on the chemistry and the digestive role of saliva and the properties and function of the pancreas.    

“Bernard introduced the concept of ‘internal secretions’ and showed that all the relevant organs of the body cooperate in the general functions. He later elaborated his concept of the ‘*milieu intérieur*.’ His subsequent lecture courses presented his discoveries on the effect of poisons, the pathology and physiology of the nervous system (particularly of the vasomotor nerves), body fluids, and anesthesia. Much of our understanding of diabetes, gastrointestinal physiology, and, especially, the experimental method in science stems from Claude Bernard” (Waife et al. 209).</p>",Lilly Library,stillimage,"Bernard, Claude, [*Leçons de physiologie opératoire*](https://iucat.iu.edu/catalog/52312) ; Bernard, Claude, [*Leçons sur les propriétés physiologiques. . .*](https://iucat.iu.edu/catalog/52331)",https://iucat.iu.edu/catalog/18046712,R737 .B55,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.
nmb_0013c,nmb_0013,nmb_0013c.jpg,image/jpg,Leçons de physiologie expérimentale appliquée à la médecine,"Bernard, Claude",1856,"Paris, France",French,print book,digestion; endocrinology; metabolism; physiology,Endocrinology,"""Claude Bernard (1813-1878) was the pupil of and assistant to François Magendie, whom he succeeded as professor at the Collège de France in 1855. There he continued Magendie's physiologic research with even greater intellectual power. He had started as a pharmacist's assistant in Lyons and, before qualifying as a physician, had had some success as a poet and playwright. The greatest of French physiologists, Bernard was the first scientist in his country to be honored with a public funeral at the cathedral of Notre-Dame de Paris.    

“Bernard combined Magendie’s objectivity with enormous curiosity about the facts uncovered. That attitude is well summed up in his own words: ‘Put off your imagination, as you take off your overcoat, when you enter the laboratory; but put it on again, as you do your overcoat, when you leave the laboratory. Before the experiment and between whiles, let your imagination wrap you round; put it right away from you during the experiment itself lest it hinder your observing power.’ A contemporary of Charcot, Pasteur, Virchow, Addison, and Darwin, he lived during a period of intense scientific ferment.    

“His classic book on experimental physiology laid the foundation for today’s understanding of physiology, metabolism, and endocrinology. It was based on his lectures, which were given in two courses in 1854 and 8155. In the first, after a preliminary exposition of the indivisibility of physiologic and pathologic research, Bernard described his investigation of glucose production, with special reference to diabetes. He had studied the chemistry of the liver and the blood and announced his discovery of the glycogenic function of the liver. The second course discussed the mechanical and chemical aspects of digestion, with emphasis on the chemistry and the digestive role of saliva and the properties and function of the pancreas.    

“Bernard introduced the concept of ‘internal secretions’ and showed that all the relevant organs of the body cooperate in the general functions. He later elaborated his concept of the ‘*milieu intérieur*.’ His subsequent lecture courses presented his discoveries on the effect of poisons, the pathology and physiology of the nervous system (particularly of the vasomotor nerves), body fluids, and anesthesia. Much of our understanding of diabetes, gastrointestinal physiology, and, especially, the experimental method in science stems from Claude Bernard” (Waife et al. 209).</p>",Lilly Library,stillimage,"Bernard, Claude, [*Leçons de physiologie opératoire*](https://iucat.iu.edu/catalog/52312) ; Bernard, Claude, [*Leçons sur les propriétés physiologiques. . .*](https://iucat.iu.edu/catalog/52331)",https://iucat.iu.edu/catalog/18046712,R737 .B55,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.
nmb_0013d,nmb_0013,nmb_0013d.jpg,image/jpg,Leçons de physiologie expérimentale appliquée à la médecine,"Bernard, Claude",1856,"Paris, France",French,print book,digestion; endocrinology; metabolism; physiology,Endocrinology,"""Claude Bernard (1813-1878) was the pupil of and assistant to François Magendie, whom he succeeded as professor at the Collège de France in 1855. There he continued Magendie's physiologic research with even greater intellectual power. He had started as a pharmacist's assistant in Lyons and, before qualifying as a physician, had had some success as a poet and playwright. The greatest of French physiologists, Bernard was the first scientist in his country to be honored with a public funeral at the cathedral of Notre-Dame de Paris.    

“Bernard combined Magendie’s objectivity with enormous curiosity about the facts uncovered. That attitude is well summed up in his own words: ‘Put off your imagination, as you take off your overcoat, when you enter the laboratory; but put it on again, as you do your overcoat, when you leave the laboratory. Before the experiment and between whiles, let your imagination wrap you round; put it right away from you during the experiment itself lest it hinder your observing power.’ A contemporary of Charcot, Pasteur, Virchow, Addison, and Darwin, he lived during a period of intense scientific ferment.    

“His classic book on experimental physiology laid the foundation for today’s understanding of physiology, metabolism, and endocrinology. It was based on his lectures, which were given in two courses in 1854 and 8155. In the first, after a preliminary exposition of the indivisibility of physiologic and pathologic research, Bernard described his investigation of glucose production, with special reference to diabetes. He had studied the chemistry of the liver and the blood and announced his discovery of the glycogenic function of the liver. The second course discussed the mechanical and chemical aspects of digestion, with emphasis on the chemistry and the digestive role of saliva and the properties and function of the pancreas.    

“Bernard introduced the concept of ‘internal secretions’ and showed that all the relevant organs of the body cooperate in the general functions. He later elaborated his concept of the ‘*milieu intérieur*.’ His subsequent lecture courses presented his discoveries on the effect of poisons, the pathology and physiology of the nervous system (particularly of the vasomotor nerves), body fluids, and anesthesia. Much of our understanding of diabetes, gastrointestinal physiology, and, especially, the experimental method in science stems from Claude Bernard” (Waife et al. 209).",Lilly Library,stillimage,"Bernard, Claude, [*Leçons de physiologie opératoire*](https://iucat.iu.edu/catalog/52312) ; Bernard, Claude, [*Leçons sur les propriétés physiologiques. . .*](https://iucat.iu.edu/catalog/52331)",https://iucat.iu.edu/catalog/18046712,R737 .B55,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.
nmb_0013e,nmb_0013,nmb_0013e.jpg,compound_object,Leçons de physiologie expérimentale appliquée à la médecine,"Bernard, Claude",1856,"Paris, France",French,print book,digestion; endocrinology; metabolism; physiology,Endocrinology,"""Claude Bernard (1813-1878) was the pupil of and assistant to François Magendie, whom he succeeded as professor at the Collège de France in 1855. There he continued Magendie's physiologic research with even greater intellectual power. He had started as a pharmacist's assistant in Lyons and, before qualifying as a physician, had had some success as a poet and playwright. The greatest of French physiologists, Bernard was the first scientist in his country to be honored with a public funeral at the cathedral of Notre-Dame de Paris.    

“Bernard combined Magendie’s objectivity with enormous curiosity about the facts uncovered. That attitude is well summed up in his own words: ‘Put off your imagination, as you take off your overcoat, when you enter the laboratory; but put it on again, as you do your overcoat, when you leave the laboratory. Before the experiment and between whiles, let your imagination wrap you round; put it right away from you during the experiment itself lest it hinder your observing power.’ A contemporary of Charcot, Pasteur, Virchow, Addison, and Darwin, he lived during a period of intense scientific ferment.    

“His classic book on experimental physiology laid the foundation for today’s understanding of physiology, metabolism, and endocrinology. It was based on his lectures, which were given in two courses in 1854 and 8155. In the first, after a preliminary exposition of the indivisibility of physiologic and pathologic research, Bernard described his investigation of glucose production, with special reference to diabetes. He had studied the chemistry of the liver and the blood and announced his discovery of the glycogenic function of the liver. The second course discussed the mechanical and chemical aspects of digestion, with emphasis on the chemistry and the digestive role of saliva and the properties and function of the pancreas.    

“Bernard introduced the concept of ‘internal secretions’ and showed that all the relevant organs of the body cooperate in the general functions. He later elaborated his concept of the ‘*milieu intérieur*.’ His subsequent lecture courses presented his discoveries on the effect of poisons, the pathology and physiology of the nervous system (particularly of the vasomotor nerves), body fluids, and anesthesia. Much of our understanding of diabetes, gastrointestinal physiology, and, especially, the experimental method in science stems from Claude Bernard” (Waife et al. 209).",Lilly Library,stillimage,"Bernard, Claude, [*Leçons de physiologie opératoire*](https://iucat.iu.edu/catalog/52312) ; Bernard, Claude, [*Leçons sur les propriétés physiologiques. . .*](https://iucat.iu.edu/catalog/52331)",https://iucat.iu.edu/catalog/18046712,R737 .B55,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.
nmb_0014,,nmb_0014a.jpg,compound_object,"Anatomie générale, appliquée à la physiologie et à la médecine","Bichat, Marie-Francois-Xavier",1801,"Paris, France",French,print book,anatomy; physiology,Anatomy,"“Bichat (1771-1802) changed the course of pathologic anatomy by transferring interest from organs to tissues and by establishing histology as the basis for investigating structure and function. ‘The different organs have membranes and tissues in common,’ he wrote, ‘and the seat of disease is in the constituent tissues and not in the individual organs.’  

“He began his clinical work at Lyons but moved to Paris when he was twenty-three to attend Pierre Desault’s surgical clinic. When Desault died in 1795, Bichat edited his writings on membranes and on the relationships of organs and continued research along these lines. His large-scale *Anatomie générale* (“General Anatomy”) covered the pathology of the tissues, system by system, and was followed by an even longer “Treatise of Descriptive Anatomy,” of which Bichat had completed three volumes (of a projected five) before he died in 1802 at the age of thirty-one.  

“His early death, probably from an infection acquired while dissecting, prompted Corvisart, the emperor’s personal physician, to write to Napoleon: ‘Bichat has just fallen on a battlefield which numbers more than one victim. No one has done so much and so well in so short a time.’ Because, like the emperor, he had accomplished a great deal in only a few years, he became known as the ‘Napoleon of medicine.’ The emperor ordered that a bust of Bichat be placed in the Hôtel-Dieu.  

“Working essentially without benefit of a microscope (then still unperfected), Bichat identified some twenty-one different types of tissues and showed that tissues from different organs are similar and subject to the same diseases. Modern histology may be said to have been founded by this young physician. He made animal experiments as well as clinical observations in his search for the ‘vital properties of each tissue’ but defined his thoughts in the negative statement, ‘Life is the sum of the forces that resist death.’  

“Bichat laid the foundation for a biologic attitude to medical problems and influenced such successors as Laënnec and Bernard in France, Bell and Brodie in England, and Virchow and von Kölliker in Germany” (Waife et al. 157).",Lilly Library,stillimage,"Bichat, Marie-Francois-Xavier, [*Traité d'anatomie descriptive*](https://iucat.iu.edu/catalog/15711259)",https://iucat.iu.edu/catalog/15711250,QM23 .B6 v. 1 - v. 4,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.
nmb_0014a,nmb_0014,nmb_0014a.jpg,image/jpg,"Anatomie générale, appliquée à la physiologie et à la médecine","Bichat, Marie-Francois-Xavier",1801,"Paris, France",French,print book,anatomy; physiology,Anatomy,"“Bichat (1771-1802) changed the course of pathologic anatomy by transferring interest from organs to tissues and by establishing histology as the basis for investigating structure and function. ‘The different organs have membranes and tissues in common,’ he wrote, ‘and the seat of disease is in the constituent tissues and not in the individual organs.’  

“He began his clinical work at Lyons but moved to Paris when he was twenty-three to attend Pierre Desault’s surgical clinic. When Desault died in 1795, Bichat edited his writings on membranes and on the relationships of organs and continued research along these lines. His large-scale *Anatomie générale* (“General Anatomy”) covered the pathology of the tissues, system by system, and was followed by an even longer “Treatise of Descriptive Anatomy,” of which Bichat had completed three volumes (of a projected five) before he died in 1802 at the age of thirty-one.  

“His early death, probably from an infection acquired while dissecting, prompted Corvisart, the emperor’s personal physician, to write to Napoleon: ‘Bichat has just fallen on a battlefield which numbers more than one victim. No one has done so much and so well in so short a time.’ Because, like the emperor, he had accomplished a great deal in only a few years, he became known as the ‘Napoleon of medicine.’ The emperor ordered that a bust of Bichat be placed in the Hôtel-Dieu.   

“Working essentially without benefit of a microscope (then still unperfected), Bichat identified some twenty-one different types of tissues and showed that tissues from different organs are similar and subject to the same diseases. Modern histology may be said to have been founded by this young physician. He made animal experiments as well as clinical observations in his search for the ‘vital properties of each tissue’ but defined his thoughts in the negative statement, ‘Life is the sum of the forces that resist death.’   

“Bichat laid the foundation for a biologic attitude to medical problems and influenced such successors as Laënnec and Bernard in France, Bell and Brodie in England, and Virchow and von Kölliker in Germany” (Waife et al. 157).",Lilly Library,stillimage,"Bichat, Marie-Francois-Xavier, [*Traité d'anatomie descriptive*](https://iucat.iu.edu/catalog/15711259)",https://iucat.iu.edu/catalog/15711250,QM23 .B6 v. 1 - v. 4,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.
nmb_0014b,nmb_0014,nmb_0014b.jpg,image/jpg,"Anatomie générale, appliquée à la physiologie et à la médecine","Bichat, Marie-Francois-Xavier",1801,"Paris, France",French,print book,anatomy; physiology,Anatomy,"“Bichat (1771-1802) changed the course of pathologic anatomy by transferring interest from organs to tissues and by establishing histology as the basis for investigating structure and function. ‘The different organs have membranes and tissues in common,’ he wrote, ‘and the seat of disease is in the constituent tissues and not in the individual organs.’  

“He began his clinical work at Lyons but moved to Paris when he was twenty-three to attend Pierre Desault’s surgical clinic. When Desault died in 1795, Bichat edited his writings on membranes and on the relationships of organs and continued research along these lines. His large-scale *Anatomie générale* (“General Anatomy”) covered the pathology of the tissues, system by system, and was followed by an even longer “Treatise of Descriptive Anatomy,” of which Bichat had completed three volumes (of a projected five) before he died in 1802 at the age of thirty-one.  

“His early death, probably from an infection acquired while dissecting, prompted Corvisart, the emperor’s personal physician, to write to Napoleon: ‘Bichat has just fallen on a battlefield which numbers more than one victim. No one has done so much and so well in so short a time.’ Because, like the emperor, he had accomplished a great deal in only a few years, he became known as the ‘Napoleon of medicine.’ The emperor ordered that a bust of Bichat be placed in the Hôtel-Dieu.   

“Working essentially without benefit of a microscope (then still unperfected), Bichat identified some twenty-one different types of tissues and showed that tissues from different organs are similar and subject to the same diseases. Modern histology may be said to have been founded by this young physician. He made animal experiments as well as clinical observations in his search for the ‘vital properties of each tissue’ but defined his thoughts in the negative statement, ‘Life is the sum of the forces that resist death.’  

“Bichat laid the foundation for a biologic attitude to medical problems and influenced such successors as Laënnec and Bernard in France, Bell and Brodie in England, and Virchow and von Kölliker in Germany” (Waife et al. 157).",Lilly Library,stillimage,"Bichat, Marie-Francois-Xavier, [*Traité d'anatomie descriptive*](https://iucat.iu.edu/catalog/15711259)",https://iucat.iu.edu/catalog/15711250,QM23 .B6 v. 1 - v. 4,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.
nmb_0014c,nmb_0014,nmb_0014c.jpg,image/jpg,"Anatomie générale, appliquée à la physiologie et à la médecine","Bichat, Marie-Francois-Xavier",1801,"Paris, France",French,print book,anatomy; physiology,Anatomy,"“Bichat (1771-1802) changed the course of pathologic anatomy by transferring interest from organs to tissues and by establishing histology as the basis for investigating structure and function. ‘The different organs have membranes and tissues in common,’ he wrote, ‘and the seat of disease is in the constituent tissues and not in the individual organs.’  

“He began his clinical work at Lyons but moved to Paris when he was twenty-three to attend Pierre Desault’s surgical clinic. When Desault died in 1795, Bichat edited his writings on membranes and on the relationships of organs and continued research along these lines. His large-scale *Anatomie générale* (“General Anatomy”) covered the pathology of the tissues, system by system, and was followed by an even longer “Treatise of Descriptive Anatomy,” of which Bichat had completed three volumes (of a projected five) before he died in 1802 at the age of thirty-one.  

“His early death, probably from an infection acquired while dissecting, prompted Corvisart, the emperor’s personal physician, to write to Napoleon: ‘Bichat has just fallen on a battlefield which numbers more than one victim. No one has done so much and so well in so short a time.’ Because, like the emperor, he had accomplished a great deal in only a few years, he became known as the ‘Napoleon of medicine.’ The emperor ordered that a bust of Bichat be placed in the Hôtel-Dieu.  

“Working essentially without benefit of a microscope (then still unperfected), Bichat identified some twenty-one different types of tissues and showed that tissues from different organs are similar and subject to the same diseases. Modern histology may be said to have been founded by this young physician. He made animal experiments as well as clinical observations in his search for the ‘vital properties of each tissue’ but defined his thoughts in the negative statement, ‘Life is the sum of the forces that resist death.’  

“Bichat laid the foundation for a biologic attitude to medical problems and influenced such successors as Laënnec and Bernard in France, Bell and Brodie in England, and Virchow and von Kölliker in Germany” (Waife et al. 157).",Lilly Library,stillimage,"Bichat, Marie-Francois-Xavier, [*Traité d'anatomie descriptive*](https://iucat.iu.edu/catalog/15711259)",https://iucat.iu.edu/catalog/15711250,QM23 .B6 v. 1 - v. 4,"The Lilly Library does not own reproduction rights to the material in its collections, except in certain instances. Reproduction for publication purposes, therefore, is subject to your securing permission from persons, corporations, or other legal entities which may own or claim such rights under the copyright law.",All responsibility for questions of copyright that may arise in the use made of copies of our material must be assumed by the applicant.
